Sound Wave Memory Report


/*******************/

Streaming Audio Info:
Number of chunks loaded: 73 of 2560
The cache has blown 0 times
Retaining:	, Loaded:	, Max Potential Usage:	, 
0.7492 Megabytes (0.012 of total capacity)	,  13.7558 Megabytes (14424000 bytes)	, 64.0000 Megabytes	, 

Index:	, Size (KB):	, Chunk:	, Request Count:	, Average Index:	, Number of Handles Retaining Chunk:	, Chunk Load Time:	, Name: 	, LoadingBehavior: 	, Notes:	, 
   0.	, 255.54	, 2 of 8	, 120	,   0.00	, 0	,  1.7796	, leaves-rustling-14633	, Inherited*,   
   1.	, 255.69	, 1 of 8	, 119	,   0.00	, 4	,  1.4037	, leaves-rustling-14633	, Inherited*, (Cache Miss!)  
   2.	, 255.33	, 2 of 29	, 24	,   0.00	, 0	,  2.4409	, Main_Ambient_Sound	, Inherited*,   
   3.	, 255.68	, 1 of 29	, 23	,   0.00	, 1	,  2.0642	, Main_Ambient_Sound	, Inherited*, (Cache Miss!)  
   4.	, 255.61	, 2 of 142	, 25	,   0.00	, 0	,  1.0189	, Turkish_Open_Marketplace	, Inherited*,   
   5.	, 255.81	, 1 of 142	, 24	,   0.00	, 1	,  0.6847	, Turkish_Open_Marketplace	, Inherited*, (Cache Miss!)  
   6.	, 255.51	, 15 of 29	, 1	,   0.00	, 0	,  3.5740	, Main_Ambient_Sound	, Inherited*,   
   7.	, 255.45	, 14 of 29	, 1	,   0.00	, 0	,  4.2854	, Main_Ambient_Sound	, Inherited*,   
   8.	,  10.79	, 1 of 1	, 99	,   0.00	, 0	,  0.3770	, Corvo_3	, Inherited*, (Cache Miss!)  
   9.	,  12.27	, 1 of 1	, 101	,   0.00	, 0	,  0.4340	, Corvo_1	, Inherited*, (Cache Miss!)  
  10.	, 255.22	, 6 of 8	, 43	,   0.00	, 0	,  0.9214	, leaves-rustling-14633	, Inherited*,   
  11.	, 255.60	, 5 of 8	, 51	,   0.00	, 0	,  0.7097	, leaves-rustling-14633	, Inherited*,   
  12.	,  10.39	, 1 of 1	, 98	,   0.00	, 0	,  0.4385	, Corvo_2	, Inherited*, (Cache Miss!)  
  13.	, 255.80	, 12 of 142	, 1	,   0.00	, 0	,  1.2342	, Turkish_Open_Marketplace	, Inherited*,   
  14.	, 255.36	, 11 of 142	, 1	,   0.00	, 0	,  0.9190	, Turkish_Open_Marketplace	, Inherited*,   
  15.	, 130.87	, 1 of 1	, 75	,   0.00	, 0	,  0.7209	, red-tailed-hawk-62119	, Inherited*, (Cache Miss!)  
  16.	, 255.82	, 13 of 29	, 1	,   0.00	, 0	,  1.1897	, Main_Ambient_Sound	, Inherited*,   
  17.	, 254.88	, 4 of 8	, 71	,   0.00	, 0	,  1.7499	, leaves-rustling-14633	, Inherited*,   
  18.	, 255.48	, 10 of 142	, 2	,   0.00	, 0	,  1.0170	, Turkish_Open_Marketplace	, Inherited*,   
  19.	, 255.34	, 12 of 29	, 1	,   0.00	, 0	,  1.7513	, Main_Ambient_Sound	, Inherited*,   
  20.	, 254.89	, 3 of 8	, 103	,   0.00	, 0	,  0.8268	, leaves-rustling-14633	, Inherited*,   
  21.	, 255.38	, 11 of 29	, 3	,   0.00	, 0	,  0.7838	, Main_Ambient_Sound	, Inherited*,   
  22.	, 255.82	, 9 of 142	, 3	,   0.00	, 0	,  2.4343	, Turkish_Open_Marketplace	, Inherited*,   
  23.	, 255.91	, 10 of 29	, 3	,   0.00	, 0	,  0.7521	, Main_Ambient_Sound	, Inherited*,   
  24.	, 255.72	, 8 of 142	, 3	,   0.00	, 0	,  0.9694	, Turkish_Open_Marketplace	, Inherited*,   
  25.	,  18.28	, 8 of 8	, 19	,   0.00	, 0	,  0.9273	, leaves-rustling-14633	, Inherited*,   
  26.	, 255.79	, 9 of 29	, 3	,   0.00	, 0	,  1.9873	, Main_Ambient_Sound	, Inherited*,   
  27.	, 255.93	, 7 of 142	, 5	,   0.00	, 0	,  1.2246	, Turkish_Open_Marketplace	, Inherited*,   
  28.	, 255.96	, 8 of 29	, 5	,   0.00	, 0	,  1.2506	, Main_Ambient_Sound	, Inherited*,   
  29.	, 255.19	, 7 of 8	, 31	,   0.00	, 0	,  1.1274	, leaves-rustling-14633	, Inherited*,   
  30.	, 255.71	, 6 of 142	, 7	,   0.00	, 0	,  0.6762	, Turkish_Open_Marketplace	, Inherited*,   
  31.	, 255.39	, 7 of 29	, 7	,   0.00	, 0	,  1.8349	, Main_Ambient_Sound	, Inherited*,   
  32.	,   3.73	, 1 of 1	, 117	,   0.00	, 0	,  0.4585	, Gravel_1_Edited	, Inherited*, (Cache Miss!)  
  33.	,   2.44	, 1 of 1	, 117	,   0.00	, 0	,  0.5039	, Sand_1_Edited	, Inherited*, (Cache Miss!)  
  34.	,   4.13	, 1 of 1	, 125	,   0.00	, 0	,  0.2352	, Gravel_3_Edited	, Inherited*, (Cache Miss!)  
  35.	,   2.07	, 1 of 1	, 121	,   0.00	, 0	,  0.5278	, Sand_2_Edited	, Inherited*, (Cache Miss!)  
  36.	,   3.91	, 1 of 1	, 117	,   0.00	, 0	,  0.4631	, Gravel_2_Edited	, Inherited*, (Cache Miss!)  
  37.	,   2.38	, 1 of 1	, 119	,   0.00	, 0	,  0.3419	, Sand_3_Edited	, Inherited*, (Cache Miss!)  
  38.	, 255.70	, 6 of 29	, 7	,   0.00	, 0	,  1.2488	, Main_Ambient_Sound	, Inherited*,   
  39.	, 255.36	, 5 of 142	, 7	,   0.00	, 0	,  0.9602	, Turkish_Open_Marketplace	, Inherited*,   
  40.	, 255.49	, 5 of 29	, 10	,   0.00	, 0	,  1.4545	, Main_Ambient_Sound	, Inherited*,   
  41.	, 255.46	, 4 of 142	, 14	,   0.00	, 0	,  2.4195	, Turkish_Open_Marketplace	, Inherited*,   
  42.	, 255.91	, 4 of 29	, 15	,   0.00	, 0	,  0.9280	, Main_Ambient_Sound	, Inherited*,   
  43.	, 255.37	, 3 of 142	, 21	,   0.00	, 0	,  2.7633	, Turkish_Open_Marketplace	, Inherited*,   
  44.	, 255.91	, 3 of 29	, 21	,   0.00	, 0	,  0.9396	, Main_Ambient_Sound	, Inherited*,   
  45.	, 255.96	, 20 of 142	, 0	,   0.00	, 0	,  1.0248	, Turkish_Open_Marketplace	, Inherited*,   
  46.	, 255.58	, 19 of 142	, 0	,   0.00	, 0	,  2.1649	, Turkish_Open_Marketplace	, Inherited*,   
  47.	, 255.50	, 24 of 29	, 0	,   0.00	, 0	,  2.4708	, Main_Ambient_Sound	, Inherited*,   
  48.	, 255.96	, 23 of 29	, 0	,   0.00	, 0	,  4.6574	, Main_Ambient_Sound	, Inherited*,   
  49.	, 255.99	, 22 of 29	, 0	,   0.00	, 0	,  2.9398	, Main_Ambient_Sound	, Inherited*,   
  50.	, 255.63	, 18 of 142	, 0	,   0.00	, 0	,  1.9537	, Turkish_Open_Marketplace	, Inherited*,   
  51.	, 255.64	, 21 of 29	, 0	,   0.00	, 0	,  0.9762	, Main_Ambient_Sound	, Inherited*,   
  52.	, 254.91	, 17 of 142	, 0	,   0.00	, 0	,  2.7735	, Turkish_Open_Marketplace	, Inherited*,   
  53.	, 255.78	, 20 of 29	, 0	,   0.00	, 0	,  0.8601	, Main_Ambient_Sound	, Inherited*,   
  54.	, 255.86	, 16 of 142	, 0	,   0.00	, 0	,  4.3343	, Turkish_Open_Marketplace	, Inherited*,   
  55.	, 255.88	, 19 of 29	, 0	,   0.00	, 0	,  1.0066	, Main_Ambient_Sound	, Inherited*,   
  56.	, 255.64	, 15 of 142	, 0	,   0.00	, 0	,  1.3234	, Turkish_Open_Marketplace	, Inherited*,   
  57.	, 255.41	, 18 of 29	, 0	,   0.00	, 0	,  2.6803	, Main_Ambient_Sound	, Inherited*,   
  58.	, 255.65	, 14 of 142	, 0	,   0.00	, 0	,  1.6592	, Turkish_Open_Marketplace	, Inherited*,   
  59.	, 255.54	, 17 of 29	, 0	,   0.00	, 0	,  2.4438	, Main_Ambient_Sound	, Inherited*,   
  60.	, 255.68	, 16 of 29	, 0	,   0.00	, 0	,  1.8879	, Main_Ambient_Sound	, Inherited*,   
  61.	, 255.78	, 13 of 142	, 0	,   0.00	, 0	,  1.7264	, Turkish_Open_Marketplace	, Inherited*,   
  62.	,   2.75	, 1 of 1	, 63	,   0.00	, 0	,  0.2736	, Footstep_1	, Inherited*, (Cache Miss!)  
